"MSIS"	"S10MathPS_SS_Fall"	"S10MathProc_SS_Fall"
672651	NA	NA
672825	NA	NA
673346	NA	NA
673348	NA	NA
673372	NA	NA
674190	NA	NA
691429	NA	NA
693994	NA	NA
693998	NA	NA
703686	NA	NA
708791	NA	NA
708813	NA	NA
713266	NA	NA
721100	NA	NA
729974	NA	NA
732131	NA	NA
739831	NA	NA
739893	640	606
739897	NA	NA
755972	NA	NA
756539	NA	NA
761245	NA	NA
761327	NA	NA
761351	NA	NA
762002	619	621
762025	NA	NA
762049	623	621
762051	NA	NA
762052	NA	NA
762923	NA	NA
763432	NA	NA
765733	NA	NA
765774	NA	NA
765776	NA	NA
768572	NA	NA
770282	NA	704
770290	NA	NA
778338	NA	NA
808737	NA	637
813550	599	626
814409	NA	661
814409	NA	NA
815399	NA	661
815399	NA	NA
818096	637	661
831039	NA	NA
833806	NA	NA
837843	NA	NA
838604	NA	606
840597	NA	NA
840875	NA	NA
840891	NA	NA
842631	NA	NA
842645	NA	NA
842647	609	634
842658	NA	NA
843626	NA	NA
843860	NA	NA
843900	NA	NA
843917	NA	NA
843955	NA	NA
843960	NA	NA
843974	NA	NA
845126	NA	NA
845135	NA	NA
845154	NA	NA
845158	NA	NA
845219	NA	NA
845354	NA	NA
845438	NA	NA
845479	NA	NA
845585	NA	NA
845593	NA	NA
845940	616	626
845980	NA	NA
846006	NA	650
846006	NA	NA
846810	NA	NA
849719	632	634
850372	NA	NA
852522	NA	NA
852562	636	645
859254	NA	NA
861400	NA	NA
862128	NA	NA
863384	NA	NA
865068	NA	NA
865341	NA	NA
865373	636	650
866750	NA	NA
869460	NA	NA
871728	NA	NA
871744	NA	NA
875520	623	621
878052	NA	690
878052	NA	NA
882710	NA	NA
889728	636	655
889769	616	626
889771	589	595
889782	643	660
889795	NA	NA
890405	NA	NA
890988	654	650
891002	637	621
901170	577	577
904843	NA	NA
905570	616	595
905682	636	596
905727	647	645
905800	632	606
905801	628	621
905882	594	595
905968	609	585
908869	NA	NA
909448	643	645
909891	NA	NA
909940	NA	666
909940	NA	NA
909961	NA	NA
909969	NA	NA
910489	NA	NA
910492	NA	NA
910496	NA	NA
910742	628	596
910854	NA	656
910854	NA	NA
911342	670	665
911914	NA	NA
912157	NA	NA
912337	NA	NA
912347	640	596
912371	NA	NA
912376	NA	661
912376	NA	NA
912382	NA	NA
912560	674	674
912573	NA	NA
912592	623	645
912599	623	614
912616	NA	661
912616	NA	NA
912645	NA	NA
912649	NA	NA
912666	NA	NA
912673	NA	656
912673	NA	NA
912677	NA	NA
912935	NA	NA
913303	NA	NA
913872	608	632
914807	NA	NA
914811	NA	NA
915801	NA	NA
916492	NA	NA
916501	NA	704
916501	NA	NA
919503	NA	NA
919524	632	634
919709	NA	NA
920967	NA	NA
921140	604	615
921193	616	550
921469	654	614
921748	NA	NA
921760	594	587
922580	628	585
922877	NA	NA
924929	628	679
924958	628	645
927738	561	548
927750	636	645
928886	636	634
930209	NA	NA
930214	NA	NA
930219	NA	NA
930464	636	665
931000	NA	NA
931118	NA	NA
933414	625	620
938084	NA	NA
938086	NA	NA
946870	NA	NA
949277	602	637
949305	665	671
949306	667	689
949309	602	625
949312	662	676
953322	628	579
993654	609	630
993710	623	651
1000287	599	609
1001042	631	661
1001508	612	614
1001649	695	715
1001901	614	596
1002124	660	665
1003173	649	656
1003422	643	682
1003462	598	579
1003832	640	676
1003913	650	650
1003966	602	553
1003974	605	614
1004265	632	639
1004334	608	626
1006176	659	661
1006429	647	634
1006449	616	637
1006459	628	634
1006683	647	634
1007234	616	647
1007395	628	598
1007415	670	694
1007735	633	621
1007758	596	621
1007761	640	637
1007775	640	647
1007794	623	609
1007798	640	621
1007802	623	632
1007851	632	639
1007857	620	679
1007864	649	632
1007865	604	603
1007872	625	645
1007898	709	669
1007899	623	626
1007908	619	645
1007909	670	679
1007923	660	606
1007931	615	625
1007944	640	632
1007984	608	615
1007987	577	621
1008004	612	609
1008885	625	667
1009719	643	665
1011093	616	642
1011902	628	669
1011948	640	621
1011966	604	615
1011974	630	632
1011984	604	666
1011989	665	651
1011995	633	656
1012000	635	620
1012037	612	642
1012042	650	639
1012049	616	651
1012449	619	650
1012452	NA	615
1012592	640	621
1012614	643	660
1012620	676	667
1012628	616	615
1012632	631	630
1012880	588	582
1014719	612	609
1014737	616	642
1014738	589	615
1015256	609	620
1016036	616	671
1016038	643	682
1016160	640	609
1016185	653	647
1016186	646	656
1016188	625	650
1016196	604	626
1017861	581	620
1019681	690	684
1020009	660	665
1020061	583	609
1023316	628	625
1023323	650	645
1023574	612	604
1024738	672	687
1027082	627	647
1027691	627	656
1028728	NA	614
1029505	581	548
1030312	640	647
1030334	637	632
1031457	648	667
1035799	647	660
1037002	659	700
1038782	627	632
1040157	609	625
1040165	564	561
1040870	641	673
1040973	584	605
1041370	655	695
1045423	599	609
1046317	592	643
1046377	663	637
1053177	599	603
1053202	669	687
1053214	649	637
1053218	630	615
1053229	627	626
1053251	646	671
1053253	669	715
1053259	573	631
1053269	643	632
1053276	646	647
1053278	581	658
1053320	619	621
1053321	602	637
1053327	NA	651
1053333	615	625
1053342	637	671
1053343	612	595
1053348	649	656
1053357	659	666
1053366	646	666
1053371	616	637
1053379	653	666
1053380	653	651
1053384	612	647
1053385	616	661
1053394	646	647
1054202	645	640
1054216	606	658
1056358	652	655
1056362	628	604
1056428	637	647
1056440	633	647
1059221	594	671
1059229	630	632
1059238	612	647
1059239	623	609
1059253	662	666
1059257	NA	587
1059265	628	635
1059267	605	609
1059269	645	650
1059283	630	615
1059288	627	658
1059291	625	586
1059304	635	625
1059307	622	604
1059311	643	682
1059316	592	631
1059319	623	626
1059327	619	626
1059342	623	647
1059343	619	603
1059350	594	637
1059351	633	595
1059538	609	625
1060013	669	700
1060522	616	621
1060551	635	630
1060561	616	651
1060566	656	700
1061699	618	645
1061820	622	586
1061860	679	700
1061869	622	640
1061872	628	604
1061875	628	592
1061946	598	609
1062080	630	661
1062217	628	640
1062231	653	682
1062238	669	632
1063616	561	572
1063618	591	579
1063629	606	637
1063635	627	642
1063639	615	640
1063652	631	650
1063654	511	561
1063655	628	645
1063666	619	647
1063668	625	630
1063669	643	637
1063670	672	693
1063678	565	668
1063679	648	658
1063682	643	666
1063688	622	614
1063695	604	621
1063978	676	651
1063979	620	720
1064530	605	614
1064581	705	736
1065978	605	592
1067036	641	673
1067113	631	645
1067115	602	625
1067116	630	637
1067261	627	621
1067265	640	651
1067268	615	604
1067279	627	603
1067329	646	626
1067353	630	621
1067431	637	656
1068743	605	610
1069512	594	595
1069515	679	700
1069516	619	632
1069530	641	695
1069534	662	687
1069550	669	676
1069552	640	615
1069554	662	693
1069559	659	651
1069562	615	614
1069566	662	642
1069569	627	626
1069584	608	632
1069588	627	587
1070272	584	577
1070807	623	637
1071784	584	566
1071978	662	676
1072805	604	632
1073596	625	620
1074262	588	601
1074278	612	625
1076179	654	645
1076253	630	621
1076255	637	647
1078545	641	687
1080801	618	655
1081297	637	626
1081321	602	598
1081370	646	661
1081669	612	642
1081721	602	650
1086465	608	626
1088162	625	592
1088703	672	673
1088721	644	637
1089047	548	555
1091448	595	610
1091782	659	687
1092393	609	563
1092406	630	666
1092427	623	651
1092460	683	682
1092937	619	642
1094016	606	625
1094828	649	656
1094847	728	717
1094909	591	566
1095052	595	572
1095101	595	615
1095104	663	637
1095307	573	566
1095318	577	620
1095331	552	548
1095737	557	566
1095755	623	643
1095936	620	668
1096010	658	658
1096248	574	542
1096707	602	637
1096832	569	566
1097133	643	632
1100023	604	587
1110812	638	655
1111957	584	599
1111986	592	643
1112078	635	630
1112138	645	667
1112505	687	705
1112645	662	656
1112652	619	632
1112654	616	632
1112876	648	673
1114238	655	640
1114244	659	673
1114254	655	705
1114257	639	586
1114261	628	645
1114267	609	650
1114310	599	650
1114341	663	695
1114355	645	667
1114366	663	680
1114372	588	593
1114399	667	687
1114502	676	695
1114503	672	667
1114542	682	673
1115126	NA	NA
1116371	682	661
1116373	628	640
1116375	602	605
1116788	628	614
1119870	665	647
1120304	628	650
1120308	598	622
1120311	560	599
1120563	699	695
1121301	602	625
1121326	591	588
1121379	537	561
1121395	591	577
1121400	622	620
1121404	612	592
1121423	571	561
1121425	626	610
1121448	553	542
1121452	602	586
1121465	605	640
1121479	659	655
