"","date","open","high","low","close","log.close","volume"
"1","5/16/1997",1.865,1.9792,1.7083,1.7292,0.237845227,14700000
"3","5/20/1997",1.7292,1.75,1.6358,1.6358,0.213730204,5467200
"4","5/21/1997",1.6042,1.6458,1.375,1.4275,0.154576117,18853200
"5","5/22/1997",1.4375,1.4483,1.3125,1.3958,0.144823194,11776800
"8","5/28/1997",1.6092,1.6358,1.5317,1.5317,0.185173712,4574400
"9","5/29/1997",1.5417,1.5417,1.4792,1.505,0.1775365,3472800
"12","6/3/1997",1.5317,1.5317,1.4792,1.4792,0.170026898,1183200
"13","6/4/1997",1.4792,1.49,1.3958,1.4167,0.151277894,3080400
"17","6/10/1997",1.7083,1.7083,1.5317,1.5833,0.199563212,5458800
"18","6/11/1997",1.5942,1.6042,1.5317,1.5417,0.187999872,1188000
"20","6/13/1997",1.625,1.625,1.5833,1.5833,0.199563212,693600
"21","6/16/1997",1.5833,1.6042,1.5625,1.5733,0.196811543,913200
"22","6/17/1997",1.5783,1.5992,1.495,1.505,0.1775365,4706400
"23","6/18/1997",1.5208,1.5367,1.5,1.5108,0.179206976,2464800
"25","6/20/1997",1.5317,1.5525,1.5,1.5258,0.183497611,3387600
"26","6/23/1997",1.5208,1.5417,1.4792,1.5,0.176091259,1047600
"29","6/26/1997",1.5208,1.5208,1.505,1.5108,0.179206976,3189600
"30","6/27/1997",1.5158,1.5158,1.4792,1.49,0.173186268,1188000
"32","7/1/1997",1.5417,1.5417,1.5108,1.5158,0.180641903,1292400
"39","7/11/1997",2.365,2.5208,2.2083,2.3333,0.367970581,10531200
"40","7/14/1997",2.3125,2.3333,2.1775,2.2083,0.344058072,4604400
"42","7/16/1997",2.4483,2.495,2.3025,2.3333,0.367970581,3024000
"43","7/17/1997",2.2608,2.3442,2.2192,2.24,0.350248018,3169200
"44","7/18/1997",2.1875,2.2192,2.1567,2.1567,0.333789738,780000
"46","7/22/1997",2.1667,2.1875,2.0625,2.1358,0.329560582,1563600
"48","7/24/1997",2.3025,2.3125,2.2192,2.2608,0.354262145,1216800
"53","7/31/1997",2.4375,2.4375,2.3333,2.3958,0.379450561,1454400
"55","8/4/1997",2.375,2.4117,2.3025,2.3125,0.364081741,2671200
"56","8/5/1997",2.3125,2.3333,2.1458,2.2083,0.344058072,3032400
"58","8/7/1997",2.25,2.2608,2.125,2.1775,0.337958164,2034000
"61","8/12/1997",2.2817,2.3025,2.1983,2.1983,0.34208696,571200
"62","8/13/1997",2.2292,2.2292,2.1667,2.1983,0.34208696,590400
"63","8/14/1997",2.1775,2.25,2.12,2.1567,0.333789738,1041600
"68","8/21/1997",2.1358,2.1717,2.0733,2.115,0.325310372,624000
"74","8/29/1997",2.365,2.375,2.3233,2.3383,0.36890023,722400
"76","9/3/1997",2.3442,2.4167,2.3125,2.3333,0.367970581,1964400
"78","9/5/1997",2.5833,2.6667,2.4583,2.5,0.397940009,1908000
"81","9/10/1997",3.3125,3.3333,3.125,3.3025,0.518842826,3866400
"82","9/11/1997",3.24,3.3333,3.0417,3.1567,0.49923331,4262400
"84","9/15/1997",3.5317,3.6775,3.0525,3.0942,0.490548382,5583600
"86","9/17/1997",3.4583,3.5,3.3333,3.4067,0.532333891,2607600
"87","9/18/1997",3.4375,3.4692,3.2817,3.2917,0.517420247,2128800
"91","9/24/1997",4.6458,4.8125,4.2917,4.375,0.640978057,8200800
"92","9/25/1997",4.125,4.3542,4.0525,4.0833,0.611011289,4968000
"93","9/26/1997",4.24,4.2608,4.0525,4.1667,0.619792233,2731200
"94","9/29/1997",4.1458,4.1875,3.9583,4.0417,0.606564074,2371200
"96","10/1/1997",4.2817,4.5,3.9375,4.0208,0.604312471,4999200
"97","10/2/1997",4.0417,4.1775,3.99,4.0108,0.603231006,1876800
"98","10/3/1997",4.0833,4.125,3.9792,4.0208,0.604312471,1164000
"100","10/7/1997",4.0833,4.1875,4.0417,4.0625,0.608793374,1742400
"101","10/8/1997",4.1458,4.1667,3.99,4.0108,0.603231006,2806800
"102","10/9/1997",4,4.0208,3.74,3.75,0.574031268,3950400
"105","10/14/1997",4.0625,4.1042,3.8333,3.9792,0.599795768,1546800
"107","10/16/1997",3.9067,3.9792,3.6042,3.625,0.559308011,3481200
"109","10/20/1997",3.8333,3.875,3.6667,3.8233,0.582438377,4912800
"114","10/27/1997",4.8025,5.0108,4.2292,4.2708,0.630509234,6091200
"117","10/30/1997",5.2083,5.3542,5.0417,5.125,0.70969387,4770000
"118","10/31/1997",5.3542,5.4583,4.9692,5.0833,0.706145741,5026800
"119","11/3/1997",5.115,5.2192,4.9483,5.0733,0.705290544,1999200
"121","11/5/1997",4.9792,5.125,4.875,4.875,0.68797462,3093600
"122","11/6/1997",4.9167,4.9167,4.6358,4.6617,0.668544321,2913600
"124","11/10/1997",4.5,4.5625,4.2083,4.2083,0.624106692,2764800
"125","11/11/1997",4.245,4.3125,3.9167,3.9483,0.596410144,4312800
"126","11/12/1997",3.7758,4.1875,3.6667,3.7708,0.576433498,8683200
"127","11/13/1997",3.9483,3.9692,3.7708,3.8592,0.586497286,4290000
"133","11/21/1997",4.5525,4.5833,4.49,4.49,0.652246341,2602800
"134","11/24/1997",4.375,4.4067,4.2292,4.2292,0.626258224,2019600
"135","11/25/1997",4.24,4.3333,4.0417,4.2033,0.623590388,3304800
"137","11/28/1997",4.2708,4.3333,4.115,4.125,0.615423953,1603200
"139","12/2/1997",4.2608,4.3025,4.1775,4.2342,0.626771368,1262400
"145","12/10/1997",4.5833,4.625,4.3958,4.5108,0.654253572,1444800
"147","12/12/1997",4.6458,4.8025,4.4067,4.5417,0.657218444,2672400
"149","12/16/1997",4.6458,4.6458,4.4583,4.4583,0.649169289,1687200
"151","12/18/1997",4.3542,4.4275,4.2292,4.2917,0.632629356,3204000
"154","12/23/1997",4.6875,4.74,4.625,4.625,0.665111737,1177200
"155","12/24/1997",4.625,4.7083,4.4692,4.6042,0.663154181,2336400
"156","12/26/1997",4.5625,4.6458,4.49,4.5208,0.655215294,487200
"160","1/2/1998",5,5,4.7967,4.9583,0.6953328,1660800
"161","1/5/1998",4.8858,4.9375,4.7083,4.75,0.67669361,3590400
"163","1/7/1998",4.8333,4.8333,4.6925,4.7817,0.679582325,2725200
"164","1/8/1998",4.6983,4.7033,4.5317,4.615,0.664171705,6015600
"165","1/9/1998",4.6667,4.6667,4.2292,4.2608,0.629491149,6643200
"170","1/16/1998",4.9583,4.9792,4.7708,4.7917,0.68048962,2563200
"174","1/23/1998",5.3442,5.3442,4.9375,4.9375,0.693507109,9118800
"175","1/26/1998",4.9792,4.99,4.74,4.8125,0.682370743,4712400
"176","1/27/1998",4.8175,4.865,4.6667,4.75,0.67669361,4104000
"179","1/30/1998",5,5.0625,4.8858,4.9167,0.69167371,3722400
"181","2/3/1998",5.1875,5.25,5.0942,5.1508,0.711874687,4429200
"183","2/5/1998",5.115,5.115,4.875,4.9375,0.693507109,5832000
"184","2/6/1998",4.9275,5.0208,4.875,4.9067,0.690789506,2122800
"185","2/9/1998",4.9167,4.9583,4.7708,4.8542,0.686117666,2626800
"188","2/12/1998",5.2708,5.3025,5.1875,5.2608,0.721051792,3036000
"189","2/13/1998",5.25,5.2708,5.1458,5.1875,0.71495811,8420400
"190","2/17/1998",5.2192,5.2192,5.0733,5.1458,0.711452903,2376000
"191","2/18/1998",5.1458,5.1458,5.0525,5.0733,0.705290544,2971200
"195","2/24/1998",5.4167,5.6775,5.3542,5.4067,0.732932273,13945200
"200","3/3/1998",6.2917,6.3125,5.9583,5.9792,0.776643081,8016000
"205","3/10/1998",7.125,7.3542,6.9067,6.9258,0.840469946,24750000
"206","3/11/1998",6.8333,6.875,6.5208,6.6358,0.821893288,12349200
"207","3/12/1998",6.5625,6.7608,6.4275,6.5417,0.815690624,9799200
"208","3/13/1998",6.6358,6.74,6.4792,6.5575,0.816738299,6523200
"209","3/16/1998",6.63,6.7292,6.5833,6.5833,0.818443646,3312000
"212","3/19/1998",7.115,7.2917,6.9792,7,0.84509804,12115200
"216","3/25/1998",7.0833,7.1458,6.75,6.8075,0.83298765,11289600
"223","4/3/1998",8.0208,8.0317,7.6875,7.75,0.889301703,11694000
"224","4/6/1998",7.8542,7.8958,7.3542,7.3858,0.868397543,11024400
"225","4/7/1998",7.25,7.2708,7.0625,7.1667,0.855319225,11634000
"228","4/13/1998",7.9067,8.0208,7.6667,7.8592,0.895378341,10980000
"230","4/15/1998",8.1667,8.3333,7.875,8.0108,0.903675889,11192400
"232","4/17/1998",7.9842,8.1042,7.875,7.9067,0.897995261,7035600
"233","4/20/1998",7.9483,8.2917,7.8125,7.8542,0.895101956,8979600
"236","4/23/1998",7.25,7.25,6.7083,6.75,0.829303773,12253200
"238","4/27/1998",6.9483,7.0525,6.4275,6.8958,0.838584657,18885600
"240","4/29/1998",8.1042,8.2192,7.8025,7.9583,0.900820306,31657200
"241","4/30/1998",8.125,8.1667,7.5417,7.6458,0.883422933,22485600
"244","5/5/1998",7.8333,7.9583,7.7608,7.81,0.892651034,5998800
"245","5/6/1998",7.8333,7.8333,7.5108,7.5317,0.876893013,7438800
"248","5/11/1998",7.745,7.75,7.2083,7.24,0.859738566,11372400
"251","5/14/1998",7.6667,7.8858,7.5833,7.63,0.882524538,8600400
"252","5/15/1998",7.6567,7.7083,7.4583,7.4692,0.873274089,4628400
"253","5/18/1998",7.5,7.5525,7.2292,7.3383,0.865595462,6618000
"255","5/20/1998",7.5317,7.625,7.3542,7.3858,0.868397543,4048800
"256","5/21/1998",7.4583,7.5,7.2758,7.3958,0.868985158,3403200
"257","5/22/1998",7.365,7.3858,7.125,7.1667,0.855319225,5862000
"258","5/26/1998",7.1717,7.24,6.74,6.8233,0.833994466,10884000
"260","5/28/1998",7.2708,7.3125,7.1042,7.1617,0.855016125,9412800
"262","6/1/1998",7.3333,7.375,6.9425,7.1358,0.853442669,8043600
"264","6/3/1998",7.48,7.5417,7,7.0417,0.847677519,6581400
"271","6/12/1998",10.5833,10.5833,9.7083,10.1667,1.007180009,21655800
"275","6/18/1998",13.5,13.75,11.9583,12.0217,1.079965886,31639800
"280","6/25/1998",16.6667,17.4667,16,16.51,1.217747073,54465000
"281","6/26/1998",16.25,16.7167,15.625,15.7083,1.196129187,31149600
"287","7/7/1998",23.8333,23.9667,20.1667,20.35,1.308564414,47251800
"288","7/8/1998",18.65,19.8333,17.0667,18.6,1.269512944,58311600
"289","7/9/1998",18.4333,19.4167,17.5,17.5833,1.245100386,29493000
"290","7/10/1998",17.1667,17.65,16.355,16.5833,1.219670957,24982200
"293","7/15/1998",19.3333,19.5667,18.3,18.75,1.273001272,17610000
"294","7/16/1998",18.9067,19.1667,18.0833,18.895,1.276346896,13999200
"297","7/21/1998",22.8833,24.5,21.3333,22.0167,1.342752225,47328000
"299","7/23/1998",21.6667,23.0833,21.1667,21.2667,1.327700105,27810600
"300","7/24/1998",21.55,21.9167,19.5,20.7167,1.316320577,28974000
"302","7/28/1998",20.7333,21,19.6667,19.8167,1.297031335,20746800
"303","7/29/1998",20.0833,20.25,17.9167,17.9667,1.254468316,19644600
"305","7/31/1998",19.0833,19.1833,18.1833,18.4833,1.266779513,13440600
"306","8/3/1998",18.3,18.5833,17.8833,18.05,1.256477206,12913200
"307","8/4/1998",18.35,19.0167,18.0167,18.3167,1.262847232,28065000
"308","8/5/1998",18.8,18.85,16.6667,17.7,1.247973266,23060400
